User Input,Top Matched Question,2nd Matched Question,3rd Matched Question
Identify all the leads linked to Dell.,"""Who are all the leads associated with Microsoft?"" with score 0.526",Score: 0.428,Score: 0.403
Show me the most recent leads from Alibaba.,"""What are the last Amazon leads?"" with score 0.601",Score: 0.425,Score: 0.408
Are there accounts that might have similar victories to Instagram?,"""Which accounts will result in a win like account Facebook?"" with score 0.511",Score: 0.339,Score: 0.325
Provide the recent successes of HP.,"""Is there any feedback from the last meeting with IBM's team?"" with score 0.371",Score: 0.329,Score: 0.278
How many business agreements are set with Hulu?,"""How many deals do we have for account Netflix?"" with score 0.588",Score: 0.458,Score: 0.360
Who are the leads Jennifer is currently handling?,"""What leads are being worked on by Alice?"" with score 0.610",Score: 0.589,Score: 0.492
What's the renewal date for Tidal?,"""When is the renewal due for Spotify?"" with score 0.590",Score: 0.283,Score: 0.280
Can you provide details on LG's most recent deal?,"""Are there any updates on Amazon's recent activity?"" with score 0.459",Score: 0.427,Score: 0.426
Any leads linked to WooCommerce in my list?,"""Do I have any leads in account Shopify?"" with score 0.553",Score: 0.480,Score: 0.365
Describe the latest event we had with Cisco.,"""What are the last Oracle company wins?"" with score 0.408",Score: 0.389,Score: 0.372
Who was the last to engage with Pinterest on our behalf?,"""Who were the last contacts from Google to engage with our content?"" with score 0.607",Score: 0.566,Score: 0.564
How do Sony's earlier successes appear?,"""What do previous wins look like in Samsung?"" with score 0.546",Score: 0.354,Score: 0.344
Describe the methodology Kevin uses to boost Instagram engagement.,"""What type of support does Twitter require?"" with score 0.333",Score: 0.311,Score: 0.303
Provide the newest updates from Jessica's account list.,"""What is the latest in Maria's accounts?"" with score 0.572",Score: 0.375,Score: 0.337
Describe our most recent engagement with Nokia.,"""Which team members have had the most interaction with Microsoft?"" with score 0.413",Score: 0.361,Score: 0.358
Are there any prospective deals in the pipeline with Dell?,"""What was the last deal at company Adobe?"" with score 0.427",Score: 0.386,Score: 0.336
"Compared to the previous month, how is BlackBerry's intent score?","""What is the intent score of Apple?"" with score 0.616",Score: 0.594,Score: 0.372
Any notable activities from Alibaba recently?,"""Are there any updates on Amazon's recent activity?"" with score 0.518",Score: 0.423,Score: 0.381
Identify our main liaison at Tidal.,"""What contacts are being worked on by Bob?"" with score 0.418",Score: 0.380,Score: 0.321
Any upcoming WooCommerce events or webinars we should be aware of?,"""Are there any upcoming events or webinars for Shopify customers?"" with score 0.603",Score: 0.368,Score: 0.305
The last deal Jennifer finalized with HP was when?,"""When did Emma last close a deal with Oracle?"" with score 0.588",Score: 0.487,Score: 0.430
Which of Yahoo's contacts recently engaged with our materials?,"""Who were the last contacts from Google to engage with our content?"" with score 0.628",Score: 0.530,Score: 0.509
What kind of assistance does Pinterest often request?,"""What type of support does Twitter require?"" with score 0.417",Score: 0.372,Score: 0.338
Did the Cisco team provide comments from our last engagement?,"""Is there any feedback from the last meeting with IBM's team?"" with score 0.599",Score: 0.441,Score: 0.417
Which accounts managed by Kevin have a promising future?,"""What accounts should I work on next?"" with score 0.648",Score: 0.474,Score: 0.465
How many months has Jessica been overseeing LG's account?,"""How long has Maria been managing the Adobe account?"" with score 0.568",Score: 0.496,Score: 0.443
Any pending issues or concerns regarding Instagram?,"""Are there any unresolved issues with Facebook?"" with score 0.486",Score: 0.385,Score: 0.357
Members of which team frequently engage with Dell?,"""Which team members have had the most interaction with Microsoft?"" with score 0.512",Score: 0.452,Score: 0.427
Outline the next key events or goals for the Nokia account.,"""What accounts should I work on next?"" with score 0.403",Score: 0.380,Score: 0.359
